state	min	max	median	shifts	jumps	jumpvar	SE	root	lnL	lnLp	qlnL.p	qlnL.h
781000	0.043	129.488	2.900	48	0	0.000	0.299	0.912	-111.74	-201.41	-0.00	-0.69
782000	0.021	105.232	1.098	41	0	0.000	0.318	1.054	-92.83	-172.13	-0.00	1.47
783000	0.047	145.296	1.397	45	0	0.000	0.275	0.301	-97.38	-188.69	0.00	3.78
784000	0.010	49.918	1.372	41	0	0.000	0.393	0.756	-102.47	-172.12	-0.00	0.69
785000	0.024	28.147	0.914	44	0	0.000	0.446	0.483	-100.14	-184.50	0.00	-3.10
786000	0.040	13.721	0.604	42	0	0.000	0.345	0.416	-101.26	-176.21	-0.03	0.00
787000	0.013	21.114	1.300	29	0	0.000	0.405	1.301	-100.86	-124.93	-0.01	0.91
788000	0.006	43.696	1.165	42	0	0.000	0.275	0.844	-85.80	-176.22	-0.00	0.00
789000	0.122	71.676	1.021	41	0	0.000	0.244	0.385	-96.48	-172.13	0.00	-0.17
790000	0.003	23.646	0.840	51	0	0.000	0.236	0.644	-88.06	-214.15	0.00	0.00
791000	0.000	27.597	1.445	40	0	0.000	0.313	1.194	-89.39	-168.03	0.00	-0.31
792000	0.001	155.835	0.815	42	0	0.000	0.410	1.042	-101.73	-176.24	-0.00	0.00
793000	0.039	136.005	1.198	43	0	0.000	0.284	1.061	-109.04	-180.35	-0.00	0.00
794000	0.058	40.328	1.631	36	0	0.000	0.298	1.501	-98.98	-151.97	0.00	4.47
795000	0.001	17.485	0.583	49	0	0.000	0.439	0.348	-99.52	-205.57	0.00	0.00
796000	0.031	140.672	0.922	43	0	0.000	0.321	0.874	-89.86	-180.35	0.00	-0.11
797000	0.001	41.073	1.546	43	0	0.000	0.322	1.164	-96.14	-180.34	-0.00	0.00
798000	0.135	18.473	1.185	44	0	0.000	0.408	1.093	-99.84	-184.48	0.01	0.00
799000	0.013	86.288	1.197	44	0	0.000	0.300	1.738	-95.66	-184.53	0.00	0.00
800000	0.016	77.180	1.599	48	0	0.000	0.319	1.368	-90.78	-201.33	0.00	-0.69
801000	0.061	21.226	0.885	45	0	0.000	0.255	0.259	-87.79	-188.67	-0.00	0.00
802000	0.003	8.682	0.479	39	0	0.000	0.457	0.748	-91.14	-163.96	-0.00	-0.69
803000	0.082	37.582	1.780	39	0	0.000	0.275	0.933	-89.55	-163.99	-0.00	-0.69
804000	0.022	52.864	0.811	40	0	0.000	0.355	0.657	-84.81	-168.02	0.01	0.00
805000	0.037	10.077	0.842	34	0	0.000	0.403	1.248	-92.45	-144.09	0.00	-0.46
806000	0.022	49.488	0.888	33	0	0.000	0.368	0.927	-92.80	-140.20	0.00	3.09
807000	0.075	58.459	1.467	34	0	0.000	0.294	0.427	-98.73	-144.09	-0.00	-0.69
808000	0.000	54.936	0.349	39	0	0.000	0.411	0.031	-95.90	-163.97	-0.00	0.00
809000	0.029	287.911	0.853	37	0	0.000	0.352	1.471	-94.05	-155.98	-0.00	-0.69
810000	0.059	70.838	1.455	45	0	0.000	0.280	0.969	-97.47	-188.69	0.00	-0.72
811000	0.061	45.974	0.712	40	0	0.000	0.184	0.201	-88.11	-168.04	-0.00	0.00
812000	0.051	41.056	0.911	39	0	0.000	0.242	1.181	-89.17	-163.97	0.02	0.00
813000	0.005	65.427	0.407	39	0	0.000	0.229	0.886	-87.49	-163.98	-0.00	-0.69
814000	0.055	112.487	1.184	41	0	0.000	0.212	1.129	-91.78	-172.14	-0.01	0.00
815000	0.007	100.308	1.113	47	0	0.000	0.344	1.005	-91.30	-197.08	0.00	0.00
816000	0.004	75.121	1.130	46	0	0.000	0.369	1.389	-89.63	-192.87	0.00	3.86
817000	0.041	26.346	1.248	46	0	0.000	0.316	1.014	-92.13	-192.87	0.03	0.00
818000	0.001	83.189	0.628	39	0	0.000	0.338	0.229	-90.27	-163.96	0.00	0.00
819000	0.003	43.496	1.081	43	0	0.000	0.321	0.775	-98.95	-180.34	-0.00	0.46
