File,Species_FullName,Species,Genus,Broad_Geographic,Geographic,DistribArea_num,DistribArea_Clust,AcousticClust,Overall_Sympatry,WithinGenus_Sympatry,WithinGeo_Sympatry,Within_DistArea_Sympatry,WithinAcClust_Sympatry,BodySize,BodyMass,n.pulses,drum_duration,pulseRateMedian,pulseRateDeviation,interval_min,interval_max,interv1_intervMax,intervL_intervMax,interval_slope_lm2_ordre_coefa,interval_nPVI,MeanAcc,drum_peak_F,Amp_pulses_min,Amp_pulses_first,Amp_pulses_last,Amp_pulses_Q25,Amp_pulses_Q75,Amp_pulses_IQR,nPAVI,Amp_slope_lm2_ordre_coefa,n_seq,interval_seq_median
Campephilus_leucopogon_171744.wav,Campephilus_leucopogon,Cam_leu,Campephilus,New_World,Neotropic,1702432.74,DA3,2,10,1,10,2,0,31,242,-1.635452101,-1.264731598,-0.219441709,0.088357105,0.610272793,-0.485682373,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.855813355,2.221577826,1.257846277,1.236679034,1.424351358,1.230135297,-0.885852615,-0.938717893,5.06E-18,-0.252345907,-1.14E-16
Campephilus_leucopogon_176366.wav,Campephilus_leucopogon,Cam_leu,Campephilus,New_World,Neotropic,1702432.74,DA3,2,10,1,10,2,0,31,242,-1.635452101,-1.260725566,-0.437282495,0.088357105,0.883481321,-0.441559019,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.752070399,0.570043699,1.257846277,-0.134273609,-0.755828596,1.230135297,1.870295355,-0.799463851,5.06E-18,-0.252345907,-1.14E-16
Campephilus_leucopogon_177703.wav,Campephilus_leucopogon,Cam_leu,Campephilus,New_World,Neotropic,1702432.74,DA3,2,10,1,10,2,0,31,242,-1.635452101,-1.264178127,-0.251159445,0.088357105,0.648019141,-0.479586313,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.830862344,1.786380796,1.257846277,0.875418246,0.849850458,1.230135297,-0.159577939,-0.907626718,5.06E-18,-0.252345907,-1.14E-16
Campephilus_leucopogon_212368.wav,Campephilus_leucopogon,Cam_leu,Campephilus,New_World,Neotropic,1702432.74,DA3,2,10,1,10,2,0,31,242,-1.635452101,-1.265431785,-0.178515837,0.088357105,0.562520487,-0.493394401,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.83087993,0.942753183,1.257846277,0.17511573,-0.263817118,1.230135297,1.248302463,-0.83653341,5.06E-18,-0.252345907,-1.14E-16
Campephilus_leucopogon_213806.wav,Campephilus_leucopogon,Cam_leu,Campephilus,New_World,Neotropic,1702432.74,DA3,2,10,1,10,2,0,31,242,-1.635452101,-1.269322437,0.066598748,0.088357105,0.297180787,-0.536246935,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.736446528,2.585279272,1.122473138,1.679354085,1.90447138,1.230135297,-1.492812523,-0.962332688,5.06E-18,-0.252345907,-1.14E-16
Campephilus_leucopogon_217698.wav,Campephilus_leucopogon,Cam_leu,Campephilus,New_World,Neotropic,1702432.74,DA3,2,10,1,10,2,0,31,242,-1.635452101,-1.265412214,-0.179672168,0.088357105,0.563855277,-0.493178832,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.810225754,1.150939747,1.257846277,0.347933182,0.011008673,1.230135297,0.900872176,-0.855598509,5.06E-18,-0.252345907,-1.14E-16
Campephilus_leucopogon_48882.wav,Campephilus_leucopogon,Cam_leu,Campephilus,New_World,Neotropic,1702432.74,DA3,2,10,1,10,2,0,31,242,-1.635452101,-1.263124769,-0.310035426,0.088357105,0.71985735,-0.467984396,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.828267706,1.853885054,1.257846277,0.93145411,0.938962411,1.230135297,-0.272231818,-0.912670092,5.06E-18,-0.252345907,-1.14E-16
Campephilus_magellanicus_107895.wav,Campephilus_magellanicus,Cam_mag,Campephilus,New_World,Neotropic,346774.04,DA1,2,0,0,0,0,0,37,319.5,-1.635452101,-1.255403007,-0.689667124,0.088357105,1.246476094,-0.382935128,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.889238851,1.648983451,1.257846277,0.761363532,0.668473076,1.230135297,0.069716392,-0.897092783,5.06E-18,-0.252345907,-1.14E-16
Campephilus_magellanicus_146621.wav,Campephilus_magellanicus,Cam_mag,Campephilus,New_World,Neotropic,346774.04,DA1,2,0,0,0,0,0,37,319.5,-1.635452101,-1.257342739,-0.602075055,0.088357105,1.114187749,-0.404299781,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.365406922,2.553580598,1.257846277,1.512277382,1.862626157,1.230135297,-1.439912474,-0.960352776,5.06E-18,-0.252345907,-1.14E-16
Campephilus_magellanicus_146641.wav,Campephilus_magellanicus,Cam_mag,Campephilus,New_World,Neotropic,346774.04,DA1,2,0,0,0,0,0,37,319.5,-1.635452101,-1.252628653,-0.807141758,0.088357105,1.435685032,-0.352377762,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.601978764,1.275429683,1.257846277,0.451273346,0.175347065,1.230135297,0.693118259,-0.866490111,5.06E-18,-0.252345907,-1.14E-16
Campephilus_magellanicus_146642.wav,Campephilus_magellanicus,Cam_mag,Campephilus,New_World,Neotropic,346774.04,DA1,2,0,0,0,0,0,37,319.5,-1.635452101,-1.250020832,-0.909971117,0.088357105,1.613536633,-0.323654613,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-1.08246856,1.707607097,1.257846277,0.810027523,0.745861787,1.230135297,-0.028117156,-0.901632217,5.06E-18,-0.252345907,-1.14E-16
Campephilus_magellanicus_164284.wav,Campephilus_magellanicus,Cam_mag,Campephilus,New_World,Neotropic,346774.04,DA1,2,0,0,0,0,0,37,319.5,-1.635452101,-1.255077222,-0.703923262,0.088357105,1.268694388,-0.379346859,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,0.652552655,2.665154929,1.257846277,1.60489619,2.009914738,1.230135297,-1.626112298,-0.96725881,5.06E-18,-0.252345907,-1.14E-16
Campephilus_magellanicus_164285.wav,Campephilus_magellanicus,Cam_mag,Campephilus,New_World,Neotropic,346774.04,DA1,2,0,0,0,0,0,37,319.5,-1.635452101,-1.263746162,-0.275535969,0.088357105,0.67747879,-0.474828561,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.692358071,1.490139839,1.257846277,0.629506088,0.45878461,1.230135297,0.334801133,-0.884444169,5.06E-18,-0.252345907,-1.14E-16
Campephilus_magellanicus_164287.wav,Campephilus_magellanicus,Cam_mag,Campephilus,New_World,Neotropic,346774.04,DA1,2,0,0,0,0,0,37,319.5,-1.635452101,-1.254205953,-0.741433276,0.088357105,1.328114287,-0.369750507,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.783750486,2.506413345,1.257846277,1.473123441,1.800360959,1.230135297,-1.361197826,-0.957379937,5.06E-18,-0.252345907,-1.14E-16
Campephilus_magellanicus_48886.wav,Campephilus_magellanicus,Cam_mag,Campephilus,New_World,Neotropic,346774.04,DA1,2,0,0,0,0,0,37,319.5,-1.635452101,-1.262864748,-0.324277168,0.088357105,0.737590599,-0.465120465,0.561890408,0.87514705,1.25E-17,-0.503244942,-0.354150372,-0.865536423,2.621900272,1.257846277,1.568990129,1.952814535,1.230135297,-1.553927152,-0.964602292,5.06E-18,-0.252345907,-1.14E-16
